record_id,app_name,publisher,platform,source_kind,niche,keyword,rating,review_count,pricing_type,source_url,feature_tags,monetization_tags,pillar_count,whitespace_score,evidence_quality
"CMP-000047","Brain Test: Tricky Puzzles","UNICO STUDIO","ios","app_store_search","gaming","mobile games","4.78512","1424213","free","https://apps.apple.com/us/app/brain-test-tricky-puzzles/id1486214495?uo=4","habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","4","high"
"CMP-000048","Stack","Ketchapp","ios","app_store_search","gaming","mobile games","4.40318","56002","free","https://apps.apple.com/us/app/stack/id1080487957?uo=4","","freemium_likely","0","0","high"
"CMP-000049","EA SPORTS™ NBA LIVE Mobile","Electronic Arts","ios","app_store_search","gaming","mobile games","4.66526","498637","free","https://apps.apple.com/us/app/ea-sports-nba-live-mobile/id1055502792?uo=4","coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000050","EA SPORTS FC Soccer Mobile 26","Electronic Arts","ios","app_store_search","gaming","mobile games","4.68733","2347490","free","https://apps.apple.com/us/app/ea-sports-fc-soccer-mobile-26/id1094930513?uo=4","coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000051","AMAZE!!!","Crazy Labs","ios","app_store_search","gaming","mobile games","4.66917","1382377","free","https://apps.apple.com/us/app/amaze/id1452526406?uo=4","habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000052","Minecraft: Play with Friends!","Mojang","ios","app_store_search","gaming","mobile games","4.50541","812710","paid","https://apps.apple.com/us/app/minecraft-play-with-friends/id479516143?uo=4","photo_video_generation|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","2","high"
"CMP-000053","Temple Run 2: Endless Escape","Imangi Studios, LLC","ios","app_store_search","gaming","mobile games","4.49669","491155","free","https://apps.apple.com/us/app/temple-run-2-endless-escape/id572395608?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000054","Xbox","Microsoft Corporation","ios","app_store_search","gaming","mobile games","4.67616","1702173","free","https://apps.apple.com/us/app/xbox/id736179781?uo=4","photo_video_generation|gaming_progression|social_community","subscription_likely|freemium_likely","2","2","high"
"CMP-000055","Piano Tiles 2™: Fun Piano Game","Kooapps","ios","app_store_search","gaming","mobile games","4.14565","50805","free","https://apps.apple.com/us/app/piano-tiles-2-fun-piano-game/id1027688889?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","freemium_likely","3","5","high"
"CMP-000056","PlayStation App","PlayStation Mobile Inc.","ios","app_store_search","gaming","mobile games","4.34116","87077","free","https://apps.apple.com/us/app/playstation-app/id410896080?uo=4","habits_streaks|social_community","subscription_likely|freemium_likely","1","2","high"
"CMP-000057","Hungry Shark Evolution","Ubisoft","ios","app_store_search","gaming","mobile games","4.72871","198456","free","https://apps.apple.com/us/app/hungry-shark-evolution/id535500008?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","iap_likely|freemium_likely","2","3","high"
"CMP-000058","Brawl Stars","Supercell","ios","app_store_search","gaming","mobile games","4.71732","2991824","free","https://apps.apple.com/us/app/brawl-stars/id1229016807?uo=4","coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000059","Homescapes: Match 3 Games","Playrix","ios","app_store_search","gaming","mobile games","4.6489","2157127","free","https://apps.apple.com/us/app/homescapes-match-3-games/id1195621598?uo=4","photo_video_generation|gaming_progression|social_community","iap_likely|freemium_likely","2","2","high"
"CMP-000060","Plants vs. Zombies™ 2","PopCap","ios","app_store_search","gaming","mobile games","4.67694","431740","free","https://apps.apple.com/us/app/plants-vs-zombies-2/id597986893?uo=4","photo_video_generation|habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000061","Solitaire","MobilityWare","ios","app_store_search","gaming","mobile games","4.72756","2036955","free","https://apps.apple.com/us/app/solitaire/id359917414?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|freemium_likely","3","5","high"
"CMP-000062","Kick the Buddy","Playgendary Limited","ios","app_store_search","gaming","mobile games","4.58505","1044049","free","https://apps.apple.com/us/app/kick-the-buddy/id1278869953?uo=4","manifestation_spirituality|habits_streaks|mindfulness|gaming_progression","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000063","CSR 2 - Realistic Drag Racing","Zynga Inc.","ios","app_store_search","gaming","mobile games","4.7081","889747","free","https://apps.apple.com/us/app/csr-2-realistic-drag-racing/id887947640?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000064","Madden NFL 26 Mobile Football","Electronic Arts","ios","app_store_search","gaming","mobile games","4.73702","1290050","free","https://apps.apple.com/us/app/madden-nfl-26-mobile-football/id1512265589?uo=4","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","4","high"
"CMP-000065","Township","Playrix","ios","app_store_search","gaming","mobile games","4.75024","2130696","free","https://apps.apple.com/us/app/township/id638689075?uo=4","avatar_identity|photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000066","Tiles Hop: Music Ball Smash","Amanotes Pte. Ltd.","ios","app_store_search","gaming","mobile games","4.77637","57715","free","https://apps.apple.com/us/app/tiles-hop-music-ball-smash/id1344702806?uo=4","manifestation_spirituality|habits_streaks|journaling_mood|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000067","My Talking Tom","Outfit7 Limited","ios","app_store_search","gaming","mobile games","4.32846","366144","free","https://apps.apple.com/us/app/my-talking-tom/id657500465?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000068","Marvel Contest of Champions","Kabam Games, Inc.","ios","app_store_search","gaming","mobile games","4.7112","698750","free","https://apps.apple.com/us/app/marvel-contest-of-champions/id896112560?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000069","Mortal Kombat","Warner Bros.","ios","app_store_search","gaming","mobile games","4.52308","150830","free","https://apps.apple.com/us/app/mortal-kombat/id949701151?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000070","Pixel Gun 3D: Online Shooter","Cubic Games","ios","app_store_search","gaming","mobile games","4.76933","912846","free","https://apps.apple.com/us/app/pixel-gun-3d-online-shooter/id640111933?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000071","Snake VS Block","Voodoo","ios","app_store_search","gaming","mobile games","4.50846","598144","free","https://apps.apple.com/us/app/snake-vs-block/id1233739175?uo=4","habits_streaks|social_community","freemium_likely","1","2","high"
"CMP-000072","2048","Ketchapp","ios","app_store_search","gaming","mobile games","4.40291","37242","free","https://apps.apple.com/us/app/2048/id840919914?uo=4","","freemium_likely","0","0","high"
"CMP-000073","NBA 2K Mobile Basketball Game","2K","ios","app_store_search","gaming","mobile games","4.75952","1652149","free","https://apps.apple.com/us/app/nba-2k-mobile-basketball-game/id1252850847?uo=4","coaching|habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000074","Dragon City: Battle Adventure!","Socialpoint","ios","app_store_search","gaming","mobile games","4.78929","1485055","free","https://apps.apple.com/us/app/dragon-city-battle-adventure/id561941526?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","5","high"
"CMP-000075","Royal Match","Dream Games","ios","app_store_search","gaming","mobile games","4.69166","3668789","free","https://apps.apple.com/us/app/royal-match/id1482155847?uo=4","gaming_progression","iap_likely|freemium_likely","1","1","high"
"CMP-000076","Hill Climb Racing","Fingersoft","ios","app_store_search","gaming","mobile games","4.57467","130449","free","https://apps.apple.com/us/app/hill-climb-racing/id564540143?uo=4","photo_video_generation|habits_streaks|gaming_progression","iap_likely|freemium_likely","2","3","high"
"CMP-000077","Chess - Play & Learn Online","Chess.com","ios","app_store_search","gaming","mobile games","4.81196","755832","free","https://apps.apple.com/us/app/chess-play-learn-online/id329218549?uo=4","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","4","high"
"CMP-000078","Need for Speed No Limits Game","Electronic Arts","ios","app_store_search","gaming","mobile games","4.7474","393651","free","https://apps.apple.com/us/app/need-for-speed-no-limits-game/id883393043?uo=4","photo_video_generation|gaming_progression|social_community","iap_likely|freemium_likely","2","2","high"
"CMP-000079","Project Makeover","Magic Tavern, Inc.","ios","app_store_search","gaming","mobile games","4.47891","792822","free","https://apps.apple.com/us/app/project-makeover/id1483058899?uo=4","ai|avatar_identity|gaming_progression|social_community","subscription_likely|freemium_likely","2","3","high"
"CMP-000080","Bridge Race","SUPERSONIC STUDIOS LTD","ios","app_store_search","gaming","mobile games","4.51096","1051084","free","https://apps.apple.com/us/app/bridge-race/id1543845882?uo=4","photo_video_generation|gaming_progression","freemium_likely","2","2","high"
"CMP-000081","Granny","Dennis Vukanovic","ios","app_store_search","gaming","mobile games","4.35173","99361","free","https://apps.apple.com/us/app/granny/id1323957120?uo=4","","freemium_likely","0","0","high"
"CMP-000082","Fishdom","Playrix","ios","app_store_search","gaming","mobile games","4.64032","1143010","free","https://apps.apple.com/us/app/fishdom/id664575829?uo=4","photo_video_generation|gaming_progression|social_community","iap_likely|freemium_likely","2","2","high"
"CMP-000083","Going Balls","SUPERSONIC STUDIOS LTD","ios","app_store_search","gaming","mobile games","4.62462","411476","free","https://apps.apple.com/us/app/going-balls/id1499081620?uo=4","coaching|habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000084","Candy Crush Soda Saga","King","ios","app_store_search","gaming","mobile games","4.71616","761492","free","https://apps.apple.com/us/app/candy-crush-soda-saga/id850417475?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000085","MONOPOLY GO!","Scopely, Inc.","ios","app_store_search","gaming","mobile games","4.79866","3684825","free","https://apps.apple.com/us/app/monopoly-go/id1621328561?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000086","Two Dots - Connect the Colors","Playdots, Inc.","ios","app_store_search","gaming","mobile games","4.51381","167286","free","https://apps.apple.com/us/app/two-dots-connect-the-colors/id880178264?uo=4","ai|photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","6","high"
"CMP-000087","Hay Day","Supercell","ios","app_store_search","gaming","mobile games","4.69719","637454","free","https://apps.apple.com/us/app/hay-day/id506627515?uo=4","gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","1","high"
"CMP-000088","Gardenscapes","Playrix","ios","app_store_search","gaming","mobile games","4.68807","1680847","free","https://apps.apple.com/us/app/gardenscapes/id1105855019?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","iap_likely|freemium_likely","2","3","high"
"CMP-000089","Block! Hexa Puzzle™","BitMango, Inc.","ios","app_store_search","gaming","mobile games","4.46098","42670","free","https://apps.apple.com/us/app/block-hexa-puzzle/id1095572547?uo=4","photo_video_generation|habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000090","Survivor!.io","HABBY","ios","app_store_search","gaming","mobile games","4.7313","243141","free","https://apps.apple.com/us/app/survivor-io/id1528941310?uo=4","photo_video_generation|gaming_progression","freemium_likely","2","2","high"
"CMP-000091","Last War:Survival","FUNFLY PTE. LTD.","ios","app_store_search","gaming","mobile games","4.74347","442319","free","https://apps.apple.com/us/app/last-war-survival/id6448786147?uo=4","coaching|habits_streaks|gaming_progression","freemium_likely","2","3","high"
"CMP-000092","Kahoot! Play & Create Quizzes","Kahoot ASA","ios","app_store_search","gaming","mobile games","4.55994","47703","free","https://apps.apple.com/us/app/kahoot-play-create-quizzes/id1131203560?uo=4","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","3","4","high"
"CMP-000093","Stumble Guys","Scopely, Inc.","ios","app_store_search","gaming","mobile games","4.41103","475272","free","https://apps.apple.com/us/app/stumble-guys/id1541153375?uo=4","gaming_progression|social_community","iap_likely|freemium_likely","1","1","high"
"CMP-000094","Evony","TOP GAMES INC.","ios","app_store_search","gaming","mobile games","3.98301","178790","free","https://apps.apple.com/us/app/evony/id1098157959?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000095","SimCity BuildIt","Electronic Arts","ios","app_store_search","gaming","mobile games","4.10881","81809","free","https://apps.apple.com/us/app/simcity-buildit/id913292932?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000096","Sudoku.com - Number Games","Easybrain Ltd","ios","app_store_search","gaming","mobile games","4.75499","1822577","free","https://apps.apple.com/us/app/sudoku-com-number-games/id1193508329?uo=4","habits_streaks|mindfulness|gaming_progression","subscription_likely|freemium_likely","2","4","high"
"CMP-000097","Hungry Shark World","Ubisoft","ios","app_store_search","gaming","mobile games","4.74076","620520","free","https://apps.apple.com/us/app/hungry-shark-world/id1046846443?uo=4","photo_video_generation|habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000098","Bejeweled Blitz","PopCap","ios","app_store_search","gaming","mobile games","3.02131","10889","free","https://apps.apple.com/us/app/bejeweled-blitz/id469960709?uo=4","habits_streaks|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","1","2","high"
"CMP-000099","Whiteout Survival","Century Games Pte. Ltd.","ios","app_store_search","gaming","mobile games","4.60918","428354","free","https://apps.apple.com/us/app/whiteout-survival/id6443575749?uo=4","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|freemium_likely","3","5","high"
"CMP-000100","ESPN Fantasy Sports & More","Disney","ios","app_store_search","gaming","mobile games","4.77562","1944853","free","https://apps.apple.com/us/app/espn-fantasy-sports-more/id555376968?uo=4","photo_video_generation|gaming_progression|social_community","subscription_likely|freemium_likely","2","2","high"
"CMP-000101","Steam Mobile","Valve","ios","app_store_search","gaming","mobile games","2.63141","11156","free","https://apps.apple.com/us/app/steam-mobile/id495369748?uo=4","gaming_progression|social_community","subscription_likely|freemium_likely","1","1","high"
"CMP-000102","Akinator","Elokence","ios","app_store_search","gaming","mobile games","4.62601","406568","free","https://apps.apple.com/us/app/akinator/id933135994?uo=4","photo_video_generation|habits_streaks|gaming_progression","subscription_likely|iap_likely|freemium_likely","2","3","high"
"CMP-000103","Classic Words With Friends","Zynga Inc.","ios","app_store_search","gaming","mobile games","4.47804","83079","free","https://apps.apple.com/us/app/classic-words-with-friends/id321916506?uo=4","habits_streaks|mindfulness|gaming_progression|social_community","subscription_likely|iap_likely|freemium_likely","2","4","high"
