record_id,app_name,niche,platform,source_kind,keyword,feature_tags,audience_tags,pillar_count,whitespace_score,whitespace_band,source_url,evidence_quality
"CMP-000090","Survivor!.io","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression","","2","2","low","https://apps.apple.com/us/app/survivor-io/id1528941310?uo=4","high"
"CMP-000091","Last War:Survival","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|gaming_progression","self_improvement_users","2","3","low","https://apps.apple.com/us/app/last-war-survival/id6448786147?uo=4","high"
"CMP-000092","Kahoot! Play & Create Quizzes","gaming","ios","app_store_search","mobile games","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","self_improvement_users|casual_gamers","3","4","medium","https://apps.apple.com/us/app/kahoot-play-create-quizzes/id1131203560?uo=4","high"
"CMP-000093","Stumble Guys","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","casual_gamers","1","1","low","https://apps.apple.com/us/app/stumble-guys/id1541153375?uo=4","high"
"CMP-000094","Evony","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/evony/id1098157959?uo=4","high"
"CMP-000095","SimCity BuildIt","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","1","2","low","https://apps.apple.com/us/app/simcity-buildit/id913292932?uo=4","high"
"CMP-000096","Sudoku.com - Number Games","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/sudoku-com-number-games/id1193508329?uo=4","high"
"CMP-000097","Hungry Shark World","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/hungry-shark-world/id1046846443?uo=4","high"
"CMP-000098","Bejeweled Blitz","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","1","2","low","https://apps.apple.com/us/app/bejeweled-blitz/id469960709?uo=4","high"
"CMP-000099","Whiteout Survival","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/whiteout-survival/id6443575749?uo=4","high"
"CMP-000100","ESPN Fantasy Sports & More","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","gen_z_creator_identity","2","2","low","https://apps.apple.com/us/app/espn-fantasy-sports-more/id555376968?uo=4","high"
"CMP-000101","Steam Mobile","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","gen_z_creator_identity|casual_gamers","1","1","low","https://apps.apple.com/us/app/steam-mobile/id495369748?uo=4","high"
"CMP-000102","Akinator","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression","casual_gamers","2","3","low","https://apps.apple.com/us/app/akinator/id933135994?uo=4","high"
"CMP-000103","Classic Words With Friends","gaming","ios","app_store_search","mobile games","habits_streaks|mindfulness|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|casual_gamers","2","4","medium","https://apps.apple.com/us/app/classic-words-with-friends/id321916506?uo=4","high"
"CMP-000104","Stickman Hook","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/stickman-hook/id1435807944?uo=4","high"
"CMP-000105","Snake.io - Fun Online Snake","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression","","2","2","low","https://apps.apple.com/us/app/snake-io-fun-online-snake/id1104692136?uo=4","high"
"CMP-000106","Words With Friends Word Game","gaming","ios","app_store_search","mobile games","photo_video_generation|coaching|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|self_improvement_users|casual_gamers","3","4","medium","https://apps.apple.com/us/app/words-with-friends-word-game/id1196764367?uo=4","high"
"CMP-000107","Wordle!","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","2","3","low","https://apps.apple.com/us/app/wordle/id1095569891?uo=4","high"
"CMP-000108","Fun Race 3D: Running & Parkour","gaming","ios","app_store_search","mobile games","ai|habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","1","3","low","https://apps.apple.com/us/app/fun-race-3d-running-parkour/id1462556579?uo=4","high"
"CMP-000109","Coin Master","gaming","ios","app_store_search","mobile games","tarot_or_oracle|photo_video_generation|habits_streaks|gaming_progression|social_community","casual_gamers","3","4","medium","https://apps.apple.com/us/app/coin-master/id406889139?uo=4","high"
"CMP-000110","Vita Mahjong","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/vita-mahjong/id6468921495?uo=4","high"
"CMP-000111","Fallout Shelter","gaming","ios","app_store_search","mobile games","photo_video_generation|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/fallout-shelter/id991153141?uo=4","high"
"CMP-000112","NYT Games: Wordle & Crossword","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression|social_community","casual_gamers","1","2","low","https://apps.apple.com/us/app/nyt-games-wordle-crossword/id307569751?uo=4","high"
"CMP-000113","Tetris®","gaming","ios","app_store_search","mobile games","avatar_identity|photo_video_generation|habits_streaks|gaming_progression","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/tetris/id1491074310?uo=4","high"
"CMP-000114","Hill Climb Racing 2","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|mindfulness|gaming_progression|social_community","anxious_stressed_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/hill-climb-racing-2/id1146465836?uo=4","high"
"CMP-000115","Toon Blast","gaming","ios","app_store_search","mobile games","coaching|habits_streaks|mindfulness|gaming_progression","anxious_stressed_users|self_improvement_users|casual_gamers","3","5","medium","https://apps.apple.com/us/app/toon-blast/id1176027022?uo=4","high"
"CMP-000116","Sniper Shooter: Gun Shooting","gaming","ios","app_store_search","mobile games","gaming_progression|social_community","casual_gamers","1","1","low","https://apps.apple.com/us/app/sniper-shooter-gun-shooting/id635573390?uo=4","high"
"CMP-000117","Design Home™: House Makeover","gaming","ios","app_store_search","mobile games","photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers","2","3","low","https://apps.apple.com/us/app/design-home-house-makeover/id1010962391?uo=4","high"
"CMP-000118","Criminal Case","gaming","ios","app_store_search","mobile games","manifestation_spirituality|gaming_progression|social_community","casual_gamers","2","2","low","https://apps.apple.com/us/app/criminal-case/id767473889?uo=4","high"
"CMP-000119","Asphalt 8: Airborne","gaming","ios","app_store_search","mobile games","avatar_identity|photo_video_generation|habits_streaks|gaming_progression|social_community","gen_z_creator_identity|casual_gamers|coaching_professionals","2","3","low","https://apps.apple.com/us/app/asphalt-8-airborne/id610391947?uo=4","high"
"CMP-000120","Elevate - Brain Training Games","gaming","ios","app_store_search","mobile games","habits_streaks|gaming_progression","gen_z_creator_identity|self_improvement_users","1","2","low","https://apps.apple.com/us/app/elevate-brain-training-games/id875063456?uo=4","high"
"CMP-000121","com.mobile.legends","gaming","android","google_play_search_fallback","mobile games","","","0","0","low","https://play.google.com/store/apps/details?id=com.mobile.legends","medium"
"CMP-000122","com.ea.gp.fifamobile","gaming","android","google_play_search_fallback","mobile games","","","0","0","low","https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile","medium"
"CMP-000123","com.tencent.ig","gaming","android","google_play_search_fallback","mobile games","","","0","0","low","https://play.google.com/store/apps/details?id=com.tencent.ig","medium"
"CMP-000124","com.roblox.client","gaming","android","google_play_search_fallback","mobile games","","coaching_professionals","0","0","low","https://play.google.com/store/apps/details?id=com.roblox.client","medium"
